Author,Title,Type of Ban,State,District,Origin of Challenge,Frequency,Date
"Levithan, David","Hold Me Closer: The Tiny Cooper Story (Will Grayson, Will Grayson Series)",Banned Pending Investigation,Oklahoma,Bristow public schools,Administrator,3,2021-10-01
"Ukazu, Ngozi","#Hockey (Check, Please! Series)",Banned Pending Investigation,Tennessee,Collierville schools,Administrator,3,2022-02-01
"Ukazu, Ngozi","#Hockey (Check, Please! Series)",Banned in Libraries and Classrooms,Texas,Prosper independent school district,Administrator,3,2022-03-01
"King, A. S.",Ask the Passengers,Banned Pending Investigation,Tennessee,Collierville schools,Administrator,3,2022-02-01
"King, A. S.",Ask the Passengers,Banned Pending Investigation,Texas,Granbury independent school district,Administrator,3,2022-01-01
"Nguyen, Trung Le",The Magic Fish,Banned Pending Investigation,Texas,North east independent school district,Administrator,3,2021-12-01
"Khorram, Adib",Darius the Great Deserves Better (Darius the Great Series),Banned Pending Investigation,Texas,Granbury independent school district,Administrator,3,2022-01-01
"Nguyen, Trung Le",The Magic Fish,Banned Pending Investigation,Tennessee,Collierville schools,Administrator,3,2022-02-01
"Nguyen, Trung Le",The Magic Fish,Banned in Libraries and Classrooms,Florida,Indian river county school district,Administrator,3,2021-11-01
"Rapp, Adam",33 Snowfish,Banned Pending Investigation,Virginia,Spotsylvania county public schools,Administrator,3,2021-11-01
"Rapp, Adam",33 Snowfish,Banned Pending Investigation,Michigan,Gladwin community schools,Administrator,3,2022-05-01
"Rapp, Adam",33 Snowfish,Banned in Libraries and Classrooms,Idaho,Nampa school district,Administrator,3,2022-05-01
"Nelson, Jandy",I'll Give You the Sun,Banned Pending Investigation,Texas,North east independent school district,Administrator,3,2021-12-01
"Brown, Echo",Black Girl Unlimited: The Remarkable Story of a Teenage Wizard,Banned in Libraries,Florida,Indian river county school district,Administrator,3,2021-11-01
"Khorram, Adib",Darius the Great Deserves Better (Darius the Great Series),Banned Pending Investigation,Texas,North east independent school district,Administrator,3,2021-12-01
"Khorram, Adib",Darius the Great Deserves Better (Darius the Great Series),Banned Pending Investigation,Tennessee,Collierville schools,Administrator,3,2022-02-01
"Moore, Alan",V for Vendetta,Banned Pending Investigation,Texas,Granbury independent school district,Administrator,3,2022-01-01
"Meyers, Susan",Everywhere Babies,Banned Pending Investigation,Florida,Lee county schools,Administrator,3,2022-03-01
"Nelson, Jandy",I'll Give You the Sun,Banned Pending Investigation,Texas,Granbury independent school district,Administrator,3,2022-01-01
