State,ID,District,Students_tested,Reading_proficiency_rate,Average_proficiency,Diff_from_mean_abs
Arizona,400082,Colorado river union high school district,453,20.0,54.32355555555556,34.32355555555556
Arizona,400083,Portable practical educational preparation  inc. (ppep  inc.,180,,54.32355555555556,
Arizona,400089,Sedona charter school  inc.,79,,54.32355555555556,
Arizona,400090,Mingus springs charter school,118,,54.32355555555556,
Arizona,400092,Franklin phonetic primary school  inc.,297,47.0,54.32355555555556,7.323555555555558
Arizona,400093,Skyview school  inc.,122,,54.32355555555556,
Arizona,400094,Az-tec high school,31,,54.32355555555556,
Arizona,400095,Yuma private industry council  inc.,28,,54.32355555555556,
Arizona,400096,Mountain school  inc.,99,,54.32355555555556,
Arizona,400097,Northland preparatory academy,375,58.0,54.32355555555556,3.676444444444442
Arizona,400098,Flagstaff junior academy,206,44.0,54.32355555555556,10.323555555555558
Arizona,400099,Liberty high school,25,,54.32355555555556,
Arizona,400100,Ball charter schools (hearn),391,52.0,54.32355555555556,2.323555555555558
Arizona,400102,Friendly house  inc.,216,15.0,54.32355555555556,39.32355555555556
Arizona,400103,Ombudsman educational services  ltd. a subsidiary of educati,91,,54.32355555555556,
Arizona,400104,Global renaissance academy of distinguished education,43,,54.32355555555556,
Arizona,400105,Hillcrest academy  inc.,70,,54.32355555555556,
Arizona,400106,Arizona agribusiness & equine center  inc.,89,,54.32355555555556,
Arizona,400107,International commerce secondary schools  inc.,110,,54.32355555555556,
Arizona,400108,Humanities and sciences academy of the united states  inc.,63,,54.32355555555556,
Arizona,400109,Phoenix advantage charter school  inc.,303,16.0,54.32355555555556,38.32355555555556
Arizona,400111,Allen-cochran enterprises  inc.,237,65.0,54.32355555555556,10.676444444444442
Arizona,400112,American leadership academy  inc.,2236,43.0,54.32355555555556,11.323555555555558
Arizona,400113,Fountain hills charter school,75,,54.32355555555556,
Arizona,400115,Hermosa montessori charter school,111,,54.32355555555556,
Arizona,400120,Arizona department of corrections,7,,54.32355555555556,
Arizona,400121,Accelerated learning center  inc.,71,,54.32355555555556,
Arizona,400122,Acclaim charter school,232,27.0,54.32355555555556,27.323555555555558
Arizona,400124,Genesis program  inc.,30,,54.32355555555556,
Arizona,400125,Luz academy of tucson  inc,18,,54.32355555555556,
Arizona,400126,Montessori schoolhouse of tucson  inc.,31,,54.32355555555556,
Arizona,400128,Academy of excellence  inc.,79,,54.32355555555556,
Arizona,400129,Accelerated elementary and secondary schools,131,,54.32355555555556,
Arizona,400130,American heritage academy,258,40.0,54.32355555555556,14.323555555555558
Arizona,400131,The charter foundation  inc.,431,33.0,54.32355555555556,21.323555555555558
Arizona,400133,Employ-ability unlimited  inc.,145,,54.32355555555556,
Arizona,400134,Basis school  inc.,464,77.0,54.32355555555556,22.676444444444442
Arizona,400135,Challenge school  inc.,285,74.0,54.32355555555556,19.676444444444442
Arizona,400141,Discovery plus academy,42,,54.32355555555556,
Arizona,400144,Florence crittenton services of arizona  inc.,22,,54.32355555555556,
Arizona,400145,Gem charter school  inc.,5,,54.32355555555556,
Arizona,400147,Ha:san educational services,25,,54.32355555555556,
Arizona,400149,Kaizen education foundation dba el dorado high school,72,,54.32355555555556,
Arizona,400150,Mexicayotl academy  inc.,98,,54.32355555555556,
Arizona,400151,New horizon school for the performing arts,90,,54.32355555555556,
Arizona,400153,Phoenix school of academic excellence the,23,,54.32355555555556,
Arizona,400154,Shonto governing board of education  inc.,19,,54.32355555555556,
Arizona,400157,Edkey  inc. - sequoia choice schools,487,49.0,54.32355555555556,5.323555555555558
Arizona,400159,Tucson preparatory school,18,,54.32355555555556,
Arizona,400160,Vision charter school  inc.,9,,54.32355555555556,
Arizona,400161,Westwind children's services,25,,54.32355555555556,
Arizona,400163,Coconino county accommodation school district,22,,54.32355555555556,
Arizona,400164,Arizona academy of science and technology  inc.,47,,54.32355555555556,
Arizona,400165,Keystone montessori charter school  inc.,146,,54.32355555555556,
Arizona,400181,Benchmark school  inc.,220,69.0,54.32355555555556,14.676444444444442
Arizona,400182,Cambridge academy  east   inc,272,53.0,54.32355555555556,1.3235555555555578
